,per_student_2008,percent_of_all_expenditures_2008,total_expenditure_2008
M015,334,0.015,87270
M019,148,0.006999999999999999,49974
M020,229,0.012,139827
M034,163,0.009000000000000001,68347
0,,,
M063,178,0.006999999999999999,36057
M064,178,0.008,52412
M110,127,0.006999999999999999,60689
M134,156,0.006999999999999999,57264
M137,326,0.011000000000000001,78959
M140,192,0.01,86262
M142,151,0.006,67807
M184,179,0.013000000000000001,102842
M188,286,0.013000000000000001,118252
M292,177,0.011000000000000001,91128
M301,239,0.013000000000000001,50517
M315,206,0.01,33639
M332,396,0.025,110359
M345,205,0.011000000000000001,57101
M361,135,0.006999999999999999,34732
M363,102,0.005,28064
M364,83,0.005,27531
0,,,
M448,238,0.016,139881
M450,104,0.006,57460
0,,,
M509,246,0.01,128412
M515,371,0.02,194221
M539,130,0.01,138425
M650,498,0.022000000000000002,106640
M696,255,0.017,138439
M839,216,0.013999999999999999,78459
M001,92,0.005,52295
M002,326,0.019,236728
M003,107,0.006999999999999999,62624
M006,71,0.005,57022
M011,284,0.016,145022
M033,175,0.008,58800
M040,148,0.009000000000000001,80686
M041,70,0.005,51712
M042,159,0.01,117118
M047,679,0.021,143277
M051,157,0.009000000000000001,52378
M059,163,0.011000000000000001,75162
M077,336,0.022000000000000002,119643
M089,199,0.011000000000000001,101662
M104,225,0.017,233925
M111,222,0.012,126987
M114,272,0.021,99151
M116,159,0.012,126055
M124,129,0.009000000000000001,128855
M126,181,0.01,130781
M130,139,0.01,149201
M131,175,0.009000000000000001,142570
M150,406,0.02,73553
0,,,
M158,101,0.006999999999999999,73889
M167,91,0.006999999999999999,114015
M183,104,0.006999999999999999,61009
M198,140,0.008,76668
M212,139,0.008,48123
M217,108,0.006,49197
M225,255,0.013999999999999999,72780
M234,118,0.008,88791
M255,214,0.017,82244
M260,100,0.006999999999999999,24384
0,,,
0,,,
M288,558,0.034,225913
M289,222,0.016,65390
M290,136,0.01,90467
M294,267,0.018000000000000002,91456
M296,71,0.005,26776
M298,228,0.016,93345
M300,597,0.042,232259
M303,313,0.018000000000000002,100054
M305,269,0.018000000000000002,67942
M308,293,0.017,70550
M312,80,0.006,46141
M313,272,0.017,55955
M316,146,0.01,42764
M347,790,0.018000000000000002,157223
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
M400,243,0.017,354959
M407,323,0.025,131348
M408,108,0.006999999999999999,46336
M411,181,0.013999999999999999,75403
M412,235,0.017,121965
M413,171,0.012,117243
M414,93,0.006999999999999999,39293
M416,375,0.019,181398
M418,130,0.006999999999999999,71162
M419,425,0.025,191372
M420,145,0.011000000000000001,219877
0,,,
M425,208,0.011000000000000001,144079
0,,,
M429,143,0.006999999999999999,54027
0,,,
0,,,
0,,,
M439,105,0.006,41594
M440,136,0.008,234932
M442,105,0.005,16947
0,,,
M449,283,0.016,117315
M459,462,0.027000000000000003,149291
M460,87,0.006,213197
M475,73,0.006,227296
M489,165,0.008,130095
M500,978,0.049,197528
0,,,
M519,128,0.009000000000000001,58854
M520,136,0.009000000000000001,378007
M529,121,0.008,84661
M531,218,0.011000000000000001,44472
0,,,
M542,496,0.027999999999999997,232513
M543,188,0.011000000000000001,78745
M544,242,0.012,100490
M545,271,0.013999999999999999,79232
M550,89,0.004,38102
0,,,
M560,85,0.005,59597
M565,354,0.013000000000000001,48881
M570,162,0.01,155055
M575,365,0.024,313079
M580,117,0.006999999999999999,72353
M586,589,0.017,54170
M600,191,0.012,315104
M605,109,0.006,19828
M615,260,0.015,246053
M620,153,0.009000000000000001,332661
M625,527,0.032,977651
M630,321,0.021,439847
M655,355,0.024,250770
M690,712,0.027000000000000003,147377
M896,102,0.006,21777
M009,323,0.02,164509
M044,281,0.012,113387
M054,118,0.006999999999999999,103686
M075,156,0.01,123791
M076,279,0.013999999999999999,115606
M084,164,0.008,69026
M087,92,0.006,83098
M145,140,0.006,74969
M149,328,0.017,156042
M163,146,0.008,93250
M165,194,0.01,114319
M166,123,0.008,73380
M180,531,0.028999999999999998,304894
M185,116,0.005,35408
M191,146,0.006999999999999999,72613
M199,76,0.004,55133
M208,161,0.006999999999999999,35907
M241,194,0.009000000000000001,70652
M242,181,0.009000000000000001,52226
M243,91,0.006,18536
0,,,
M245,184,0.013000000000000001,61221
M246,88,0.005,19325
M247,481,0.027999999999999997,89037
M250,213,0.011000000000000001,41253
M256,409,0.019,69568
M258,246,0.013000000000000001,57940
M283,367,0.025,122699
M299,236,0.013000000000000001,76787
M307,391,0.027000000000000003,146255
M333,143,0.008,99587
M334,175,0.013999999999999999,90652
0,,,
0,,,
0,,,
M415,167,0.008,117776
0,,,
0,,,
0,,,
M470,118,0.008,287937
M479,206,0.015,223994
M485,160,0.011000000000000001,412259
M492,339,0.017,164221
M494,279,0.016,164659
M505,420,0.021,248004
M541,138,0.009000000000000001,60920
0,,,
M860,480,0.033,237710
M862,116,0.008,34195
M007,391,0.022000000000000002,180468
M012,172,0.013000000000000001,79045
M013,150,0.006,51941
M037,265,0.013000000000000001,39476
M038,334,0.015,126179
M045,195,0.008,85833
M050,264,0.011000000000000001,133196
M057,351,0.02,248106
M072,290,0.015,168794
M083,245,0.015,104263
M096,174,0.011000000000000001,116787
0,,,
M101,344,0.015,182236
M102,206,0.009000000000000001,72791
M108,246,0.016,191802
M112,391,0.012,133649
M117,319,0.013000000000000001,129959
M146,210,0.008,101531
M155,113,0.005,43664
M171,188,0.012,120476
M182,330,0.021,143469
M206,277,0.012,72138
M224,193,0.013999999999999999,51232
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
M409,303,0.015,128725
M435,147,0.011000000000000001,230531
M495,317,0.018000000000000002,121697
M497,132,0.006999999999999999,24900
M555,144,0.008,44642
M610,139,0.008,56354
M635,266,0.016,177008
M680,254,0.013999999999999999,84514
M695,119,0.006,23396
M825,261,0.015,96444
M964,129,0.005,24294
M030,552,0.017,214333
M036,123,0.006,67060
M046,93,0.005,75177
M092,144,0.005,46544
M123,186,0.01,109525
M125,100,0.004,40507
M129,233,0.011000000000000001,116903
M133,347,0.015,119750
M154,196,0.009000000000000001,92105
M161,279,0.013999999999999999,236759
M172,131,0.004,37321
M175,162,0.008,63062
M194,65,0.003,19183
M195,230,0.011000000000000001,168466
M197,96,0.005,53182
M200,196,0.01,133973
0,,,
M285,214,0.009000000000000001,44536
M286,719,0.03,138711
M302,208,0.015,60401
M304,334,0.024,138252
M317,508,0.027000000000000003,98964
M318,194,0.009000000000000001,26960
M344,292,0.019,64637
M362,1209,0.065,113665
M367,713,0.045,124757
M369,309,0.019,45685
0,,,
M469,100,0.005,42452
M499,116,0.008,164068
0,,,
0,,,
M670,238,0.015,137300
M685,85,0.005,46138
M692,597,0.036000000000000004,281407
M004,105,0.005,68089
M005,159,0.008,136213
M008,201,0.01,123146
M018,168,0.009000000000000001,73752
M028,353,0.019,351748
M048,280,0.012,161792
M052,103,0.005,94786
0,,,
M098,187,0.009000000000000001,115579
M115,255,0.013999999999999999,221341
M128,271,0.013000000000000001,221108
M132,129,0.006,117555
M143,132,0.006999999999999999,113270
M152,71,0.004,69018
M153,230,0.012,231278
0,,,
M173,412,0.022000000000000002,338565
M178,172,0.006,45806
M187,196,0.012,154488
M189,244,0.013999999999999999,272355
M192,259,0.011000000000000001,121036
M210,106,0.006,40011
M218,129,0.006999999999999999,68552
M223,355,0.022000000000000002,151906
M278,207,0.011000000000000001,97658
M293,213,0.012,51250
M311,253,0.013000000000000001,100629
M314,159,0.009000000000000001,43945
M319,288,0.015,135721
M321,243,0.013000000000000001,85383
M322,445,0.026000000000000002,227287
M324,294,0.015,116231
M325,169,0.01,80338
M326,427,0.023,197968
M328,261,0.016,148163
M346,163,0.012,43555
M348,201,0.012,47235
M349,822,0.047,147182
M366,473,0.026000000000000002,51993
M368,638,0.040999999999999995,147959
0,,,
M462,448,0.026000000000000002,307989
M463,262,0.017,173408
M467,262,0.016,172695
M468,395,0.023,265168
M528,365,0.02,97902
M540,183,0.012,273311
M552,124,0.006999999999999999,51884
X001,660,0.037000000000000005,434642
X005,150,0.008,87057
X018,358,0.019,188091
X025,238,0.012,115933
X029,193,0.011000000000000001,142327
X030,300,0.013999999999999999,165523
X031,155,0.009000000000000001,125840
X043,296,0.013999999999999999,145559
X049,440,0.022000000000000002,290648
X065,285,0.013999999999999999,143413
X151,456,0.02,128726
X154,400,0.018000000000000002,200297
X156,85,0.003,56823
X157,450,0.023,261336
X161,409,0.015,202962
X162,169,0.009000000000000001,162101
X179,337,0.019,132522
0,,,
X203,475,0.021,204073
X220,377,0.018000000000000002,116600
X221,329,0.021,193245
0,,,
X223,509,0.032,239006
X224,441,0.023,150882
X277,221,0.012,121556
X296,683,0.037000000000000005,189882
X298,186,0.01,55644
X321,300,0.015,41447
X334,866,0.052000000000000005,161875
0,,,
X343,431,0.022000000000000002,117706
0,,,
X379,829,0.046,103666
0,,,
0,,,
X427,124,0.006999999999999999,44786
X473,143,0.008,47119
X495,116,0.006999999999999999,49203
X500,143,0.01,71990
X520,338,0.019,162662
0,,,
X527,223,0.013999999999999999,97500
X547,242,0.013000000000000001,80812
X548,454,0.025,147905
X551,394,0.025,171209
X600,293,0.015,347838
X655,432,0.025,642335
X670,302,0.018000000000000002,188369
X014,153,0.009000000000000001,80774
X036,102,0.006,66704
X048,199,0.01,191006
X062,765,0.042,553253
X069,394,0.023,229536
X071,331,0.023,519436
X072,188,0.009000000000000001,169785
X075,282,0.013999999999999999,198399
X093,240,0.01,100226
X100,222,0.013999999999999999,170707
X101,290,0.02,129126
X107,189,0.009000000000000001,101257
X119,264,0.017,239801
X123,240,0.012,135727
X125,152,0.008,115265
X130,676,0.037000000000000005,453603
X131,230,0.013000000000000001,200003
X138,221,0.013999999999999999,207971
X140,189,0.01,98666
X146,157,0.008,74322
X152,185,0.011000000000000001,169702
X174,163,0.008,104733
X182,285,0.019,277017
X192,137,0.006,89345
X201,310,0.013999999999999999,129137
X269,440,0.025,92927
X282,178,0.013000000000000001,52367
X293,235,0.017,101349
X295,121,0.008,50177
X301,383,0.017,137545
X302,414,0.021,347842
X304,422,0.024,226167
X305,485,0.03,187593
X312,366,0.024,153079
X332,494,0.033,104150
X333,233,0.012,240994
X335,233,0.012,240994
X337,378,0.021,105818
X366,1119,0.047,114150
X367,893,0.046,95547
X371,651,0.037000000000000005,84660
X375,1335,0.077,166854
X376,1940,0.099,193962
X377,1000,0.055,105028
X405,169,0.013000000000000001,725991
0,,,
0,,,
0,,,
X450,271,0.01,205133
X452,247,0.013999999999999999,76061
0,,,
X519,200,0.011000000000000001,82053
X530,551,0.035,224183
0,,,
X540,196,0.011000000000000001,76757
X560,133,0.006999999999999999,53365
X650,293,0.018000000000000002,502184
X686,290,0.011000000000000001,45466
X002,417,0.013999999999999999,122605
X004,263,0.009000000000000001,137034
X011,155,0.008,109838
X022,324,0.017,216858
X028,220,0.011000000000000001,171329
X035,518,0.032,354807
X042,476,0.021,251104
X053,280,0.017,373518
X055,180,0.009000000000000001,126350
X058,312,0.013999999999999999,126900
X063,190,0.01,93310
X064,257,0.013000000000000001,234053
X070,209,0.012,294094
X073,276,0.015,226280
X088,439,0.021,132473
X090,248,0.013000000000000001,297359
X109,241,0.013999999999999999,172246
X110,481,0.018000000000000002,211836
X114,282,0.015,223732
X117,224,0.012,206601
X126,190,0.01,154827
X128,309,0.022000000000000002,86634
X132,474,0.017,279710
X145,185,0.009000000000000001,87655
X163,79,0.004,53682
X166,149,0.006999999999999999,139253
X170,1022,0.059000000000000004,265798
X199,387,0.021,297150
X204,702,0.036000000000000004,260599
X215,184,0.013000000000000001,53929
X218,358,0.022000000000000002,331548
X219,509,0.023,232926
X227,223,0.015,90419
X229,181,0.006,69549
X230,274,0.013999999999999999,138433
X231,496,0.033,198952
X232,474,0.023,242343
X236,369,0.015,145711
X239,127,0.008,41017
X241,54,0.004,17995
X250,180,0.013000000000000001,75214
X252,262,0.017,89235
X260,349,0.025,117852
X263,243,0.016,81483
X276,248,0.016,72228
X297,144,0.009000000000000001,61708
X303,670,0.04,235283
X313,508,0.027000000000000003,217342
X323,175,0.01,87776
X324,307,0.016,47274
X325,347,0.02,168169
X327,493,0.031,107078
X328,787,0.038,203793
X329,163,0.012,34940
X339,459,0.023,410738
X365,1938,0.10300000000000001,213179
X403,310,0.019,106919
X404,182,0.01,80427
X412,190,0.009000000000000001,98242
X413,710,0.042,358370
X414,1104,0.052000000000000005,534483
0,,,
0,,,
0,,,
0,,,
X505,270,0.015,160566
X517,217,0.016,108121
X525,307,0.018000000000000002,199378
X543,343,0.019,70564
X003,251,0.01,118378
X007,317,0.015,182353
X008,324,0.02,374900
X009,252,0.013000000000000001,175959
X015,126,0.006999999999999999,72755
X020,92,0.005,109313
X023,296,0.01,168460
X024,163,0.008,117983
X032,248,0.013000000000000001,201145
X033,825,0.051,870731
X037,312,0.015,175683
X045,129,0.008,137398
X046,83,0.005,100912
X051,249,0.011000000000000001,68860
X054,86,0.004,42008
X056,252,0.016,141471
X059,164,0.006,87409
X079,141,0.009000000000000001,146985
X080,127,0.006,85247
X081,303,0.019,213617
X085,299,0.015,347207
X086,319,0.019,544340
X091,300,0.017,228981
X094,136,0.008,141837
X095,130,0.006999999999999999,161020
X118,139,0.009000000000000001,161236
X141,129,0.008,159025
0,,,
X159,462,0.02,107114
X205,222,0.013999999999999999,212347
X206,162,0.008,67008
X207,399,0.018000000000000002,197487
X209,210,0.011000000000000001,47898
X213,218,0.013999999999999999,77094
X225,255,0.016,117174
X226,327,0.019,144242
X228,545,0.027999999999999997,78472
X237,278,0.019,130257
X243,235,0.013999999999999999,130115
X244,863,0.05,621707
X246,83,0.005,67836
X254,165,0.008,75815
X268,568,0.036000000000000004,185279
X279,162,0.009000000000000001,166131
X280,298,0.02,233968
X284,274,0.019,114156
X291,394,0.024,225977
X306,216,0.01,153145
X307,410,0.015,125563
X308,222,0.008,65141
X310,411,0.022000000000000002,292145
X315,221,0.01,53565
X319,126,0.004,15693
X331,640,0.035,320053
X340,211,0.012,111375
X342,75,0.005,29049
X344,539,0.025,44237
X360,408,0.023,200963
0,,,
X368,210,0.013000000000000001,207844
X374,946,0.06,115381
0,,,
0,,,
X390,343,0.017,179150
X391,502,0.025,378775
X396,637,0.02,165710
0,,,
X399,270,0.013000000000000001,201468
0,,,
X430,166,0.008,96444
X433,250,0.013999999999999999,129612
X434,157,0.006999999999999999,60501
0,,,
X437,548,0.027000000000000003,230117
X438,197,0.01,105717
X439,548,0.027000000000000003,233064
X440,72,0.005,318463
X442,271,0.017,94442
X445,198,0.016,528493
0,,,
0,,,
X475,178,0.01,415307
X477,113,0.006999999999999999,47111
0,,,
0,,,
X546,247,0.016,102201
X549,334,0.022000000000000002,147586
X660,285,0.016,411470
X696,475,0.028999999999999998,157842
X016,260,0.015,153380
X019,282,0.017,139674
X021,546,0.034,445744
X041,350,0.022000000000000002,305991
X068,126,0.006,101260
X076,307,0.019,314607
X078,218,0.013000000000000001,176620
X083,157,0.01,255014
X087,193,0.011000000000000001,97224
X089,101,0.006,133186
X096,244,0.013999999999999999,243785
X097,131,0.008,97161
X103,189,0.012,204375
X105,265,0.016,389435
X106,362,0.024,447664
X108,78,0.005,44743
X111,158,0.006999999999999999,95759
X112,195,0.01,119739
0,,,
X121,153,0.009000000000000001,123747
X127,250,0.013000000000000001,160986
X135,330,0.013000000000000001,108181
X142,211,0.012,224854
X144,138,0.006999999999999999,148716
X153,133,0.006,79632
X160,230,0.008,116855
0,,,
X175,105,0.006999999999999999,42240
X178,156,0.008,76683
X180,185,0.006999999999999999,142128
X181,435,0.022000000000000002,268383
X189,958,0.051,308557
X194,135,0.009000000000000001,170413
X249,373,0.026000000000000002,130512
X253,297,0.02,131904
X265,323,0.021,135452
X270,349,0.021,150259
X272,314,0.022000000000000002,179707
X275,1014,0.064,450307
X287,156,0.011000000000000001,53818
X288,201,0.013999999999999999,93338
X289,426,0.03,238734
X290,313,0.02,138618
X299,131,0.009000000000000001,55084
X322,356,0.023,118946
X326,295,0.019,100462
X370,911,0.048,122938
X415,147,0.008,231902
X418,205,0.011000000000000001,68219
X425,951,0.025,139825
X455,193,0.013000000000000001,537369
0,,,
0,,,
0,,,
0,,,
0,,,
X513,337,0.02,92423
X514,140,0.009000000000000001,45268
0,,,
0,,,
X541,163,0.011000000000000001,67859
X542,426,0.03,196114
X544,506,0.032,218657
X545,187,0.01,70573
X006,183,0.009000000000000001,140146
X044,144,0.006,53710
X047,399,0.025,447341
X050,199,0.009000000000000001,125289
X057,692,0.035,352917
X061,236,0.012,87931
X066,196,0.009000000000000001,114295
X067,405,0.02,285132
X092,152,0.008,85307
X098,118,0.006,52617
X102,192,0.01,217506
X129,265,0.013000000000000001,125949
X134,140,0.008,92523
X150,193,0.01,139787
0,,,
X190,144,0.006999999999999999,34313
0,,,
X195,205,0.011000000000000001,99155
X196,464,0.027999999999999997,225363
X197,303,0.018000000000000002,164627
X198,775,0.024,345762
X211,164,0.008,109762
X212,346,0.016,187346
X214,244,0.012,206762
X216,219,0.01,81298
X217,204,0.009000000000000001,71331
0,,,
X242,432,0.027000000000000003,106268
X245,541,0.034,231993
X248,437,0.027999999999999997,136280
X251,266,0.017,81535
X262,358,0.024,140096
X267,203,0.013000000000000001,54192
X271,318,0.018000000000000002,194394
X273,178,0.01,46779
X278,88,0.006,28450
X286,259,0.013999999999999999,68442
X300,290,0.017,186565
X316,541,0.035,134689
X318,139,0.006999999999999999,51692
X341,379,0.023,73480
X372,1356,0.076,191238
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
X480,240,0.012,84351
0,,,
0,,,
0,,,
0,,,
X550,275,0.013999999999999999,82273
X680,390,0.024,190247
X682,233,0.013000000000000001,113994
X684,130,0.006999999999999999,69247
X690,203,0.012,124360
X691,574,0.027999999999999997,76963
X692,798,0.048,415100
K003,112,0.006999999999999999,65913
K008,196,0.012,96094
K009,221,0.011000000000000001,117542
K011,186,0.011000000000000001,92776
K020,249,0.015,108902
K044,141,0.008,75808
K046,220,0.011000000000000001,86624
K054,258,0.011000000000000001,88180
K056,313,0.013999999999999999,108758
K067,167,0.006999999999999999,40924
K093,158,0.008,67826
K103,388,0.022000000000000002,104352
K113,268,0.016,244900
K117,277,0.01,72862
K133,542,0.02,143148
K256,119,0.006,50131
K258,125,0.004,34091
K265,193,0.01,116011
K266,121,0.008,27212
K270,263,0.012,70515
K282,233,0.016,169641
K287,239,0.009000000000000001,41331
K301,1242,0.075,290721
K305,141,0.006999999999999999,57947
K307,134,0.005,36823
K313,195,0.011000000000000001,53465
K336,106,0.006,16396
K350,110,0.008,33735
K412,440,0.027999999999999997,96257
K419,116,0.009000000000000001,110536
K430,189,0.015,844778
K439,446,0.027999999999999997,174344
K483,183,0.013000000000000001,74962
K492,247,0.018000000000000002,41918
K499,77,0.005,57864
K509,195,0.011000000000000001,61454
K527,458,0.03,66927
K553,351,0.018000000000000002,106825
K571,437,0.022000000000000002,119220
K575,995,0.034,137282
K592,1324,0.064,79460
K595,191,0.012,62225
K596,862,0.040999999999999995,64651
K605,90,0.004,80853
0,,,
K670,122,0.009000000000000001,112834
0,,,
0,,,
K016,181,0.01,68317
K017,274,0.013000000000000001,102070
K018,233,0.012,56818
K019,150,0.008,74945
K023,398,0.023,136219
K031,194,0.011000000000000001,106057
0,,,
K034,195,0.012,88777
K049,698,0.026000000000000002,183506
K050,267,0.015,186356
K059,195,0.011000000000000001,96622
K071,325,0.015,309260
K084,516,0.022000000000000002,251183
K110,388,0.019,154265
K120,575,0.028999999999999998,277908
K126,244,0.012,149002
K132,307,0.02,202899
K147,432,0.018000000000000002,130599
K157,268,0.012,89241
K196,446,0.021,189127
K250,90,0.006,77966
K257,265,0.011000000000000001,150094
K297,316,0.017,127483
K318,317,0.021,460881
K319,330,0.016,56100
K322,414,0.027000000000000003,113426
K330,263,0.016,56076
K380,261,0.011000000000000001,125178
K404,290,0.02,60127
K449,623,0.025,61049
K454,458,0.031,93843
K474,321,0.021,334642
K477,303,0.02,251721
K478,359,0.02,293542
K488,147,0.009000000000000001,55013
K558,337,0.023,134757
K561,387,0.027999999999999997,173770
K577,419,0.027999999999999997,159075
K582,873,0.053,266995
K586,542,0.03,73711
K610,453,0.027000000000000003,505941
0,,,
0,,,
0,,,
K685,333,0.016,60263
K001,310,0.019,345592
K010,173,0.006999999999999999,99309
K015,233,0.01,90031
K024,445,0.022000000000000002,350405
K027,342,0.013000000000000001,196541
K029,78,0.005,53131
